ID,prediction
127,1
214,0
542,1
674,0
756,0
805,0
1548,0
2234,0
2553,0
2935,0
3037,0
3076,0
3424,1
3698,1
4659,0
4671,1
4915,1
5066,0
5225,0
5459,0
5729,0
6137,1
6477,1
6692,0
6770,0
7239,0
7334,0
7808,0
8041,0
8286,1
8349,0
9683,0
9850,1
10195,0
10361,0
10862,0
11204,0
11242,0
11524,0
11706,0
12542,0
12942,0
13475,0
13538,0
14306,0
14328,0
14819,1
15026,1
15474,1
15559,0
15630,1
15789,0
15961,0
16671,0
16783,0
17170,0
17514,0
18246,0
19450,1
19759,0
19968,0
20493,1
20627,0
20980,1
21260,0
21461,0
21611,0
21671,0
21889,0
22170,0
22410,0
22567,0
22625,0
23171,1
23211,0
23958,0
24172,0
24732,0
25462,0
26236,0
26569,0
26587,0
26985,0
27614,1
27832,0
28401,0
28744,0
29054,0
29564,0
29604,0
30369,0
30980,0
31638,0
31652,0
31664,0
32003,0
32136,0
32820,1
32917,0
32918,0
33171,0
33312,0
33316,0
33406,0
33432,0
33486,0
34930,0
34932,0
35051,1
35164,0
35199,0
35886,0
36070,0
36246,0
36541,0
36745,0
36855,0
36969,0
37556,0
38871,0
39489,1
39665,0
40700,0
40704,0
40969,0
41166,0
42108,1
42109,0
42199,0
42288,0
42388,0
42390,1
42473,0
42915,0
42918,0
43007,0
43401,0
43876,0
43911,1
44190,0
44569,0
44996,0
45342,0
45415,0
45493,0
45612,0
45941,0
45966,0
46096,0
46481,0
46583,0
47300,0
47308,0
47330,0
47747,0
47801,0
47842,0
47854,0
48122,1
48329,0
48997,0
49123,1
49175,0
49374,0
49612,0
50156,0
50406,0
50517,0
50789,0
50955,0
52047,0
52283,0
52406,1
52468,1
52592,0
52970,1
53988,0
54494,0
54875,0
54882,0
54978,0
55023,0
55377,0
55566,0
55619,0
55780,0
56030,0
56122,0
56164,0
56474,0
56517,0
56617,0
56871,0
57780,0
58155,0
58602,1
59354,0
59735,0
60136,0
60433,1
61406,0
61458,0
61572,0
61708,0
62350,0
62647,0
63045,0
63324,0
63518,0
63640,0
63851,0
64386,0
64622,0
64853,0
64964,0
65166,1
65173,1
65278,0
65287,0
66296,1
66537,1
66652,0
66758,1
67103,0
67474,0
67481,0
68780,0
68903,1
69009,1
69306,0
69315,1
69340,0
69501,0
69891,0
69973,0
70325,0
70613,0
70907,1
73971,0
74774,0
75544,0
75616,0
75660,1
75705,0
75723,1
75803,1
75892,0
76525,0
76642,1
77477,0
77726,0
77982,0
78337,0
78756,0
79035,0
79808,0
80058,0
81097,0
81977,0
82314,0
84089,0
84177,0
84454,0
84541,0
84714,0
84874,0
86251,0
86502,0
86524,0
87726,0
87919,0
88262,0
88572,0
88599,0
88608,0
88738,0
88867,0
89362,0
89482,0
89597,0
89675,1
89700,0
89764,0
90613,0
91212,0
91219,0
91506,1
92013,1
92136,0
92196,0
92492,0
92493,0
94034,0
94135,1
94534,0
95090,0
95153,0
95437,0
96403,1
97434,1
97756,0
97898,0
97921,0
97929,1
98253,0
98293,1
98349,1
98368,0
98440,1
98764,0
98843,1
98910,0
100087,0
100217,0
100302,0
100464,0
100816,1
101481,0
101792,0
102660,0
103196,0
103434,0
103777,1
103873,0
104074,0
104148,1
104576,0
104689,1
105323,0
105419,0
105993,1
106547,1
106725,1
106813,0
106981,0
107713,0
107798,0
107940,0
108290,0
108522,1
108596,1
108604,0
108932,0
109420,1
109569,0
109579,0
109701,1
109877,0
110239,0
110254,0
110290,0
110295,0
110489,1
110691,0
110957,0
111067,0
111899,0
112126,0
112181,0
112283,0
112318,1
112446,0
112472,0
113682,0
114695,0
115137,0
115439,0
115459,0
115610,0
115625,0
115745,1
115995,0
116063,0
116432,0
116498,0
116870,0
116905,0
117051,0
117066,0
117117,0
117312,0
117644,0
118162,0
118304,0
118364,0
118570,1
118725,0
118942,0
119156,0
119390,0
119763,1
120087,0
120241,0
120611,0
120803,0
120809,0
120863,0
121546,0
121678,0
121756,0
122910,0
123125,0
123457,0
123640,0
123768,0
124009,0
124806,0
124868,1
124926,1
125335,1
125454,0
125695,0
126367,1
126471,0
126579,0
126699,0
127270,0
127300,0
127350,0
127438,1
128024,0
128418,1
128428,0
128771,1
130098,1
130622,0
131041,0
131440,0
131580,0
132217,0
133150,0
133802,0
134119,0
134453,0
134581,1
134788,0
135375,0
135612,0
135692,0
135747,0
135787,0
135862,0
135868,0
136349,1
136704,0
136765,0
137208,0
138622,0
139524,0
139584,0
140180,0
140474,0
140928,1
140954,0
141155,1
141901,0
143104,1
143294,0
143426,0
143484,1
143609,0
143702,0
144422,0
144717,0
144893,0
145335,0
145438,0
145468,0
145532,0
145769,1
146616,0
146691,0
146808,1
147009,0
147398,1
148430,0
148433,0
148940,0
148992,0
149271,0
149656,0
149709,0
149852,0
149900,0
150035,0
150308,0
150668,0
151077,0
151538,0
151648,0
153196,0
153727,1
153839,0
154220,1
154273,1
154443,0
154516,0
154716,0
154759,1
154973,1
155122,1
155270,0
155569,0
155687,1
155896,0
156115,0
156325,1
156403,1
156755,0
156989,0
157149,0
157443,0
157455,1
158660,0
159223,1
159325,0
159619,0
160220,0
160312,0
160608,0
160836,0
161117,0
161190,0
162581,0
163560,0
163762,0
164377,0
164418,1
164634,0
164703,1
164789,1
165113,0
165154,0
165248,0
165270,1
165539,0
